,Member,,FIPS,Years of Potential Life Lost Rate,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,# Primary Care Physicians,PCP Rate,# Dentists,Dentist Rate,# Mental Health Providers,MHP Rate,Preventable Hosp. Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,# Some College,Population,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,# Single-Parent Households,# Households,% Single-Parent Households,# Associations,Association Rate,Annual Average Violent Crimes,Violent Crime Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,Life Expectancy,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths.1,Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths.2,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,% Insufficient Sleep,# Uninsured.1,% Uninsured.1,Other PCP Rate,% Disconnected Youth,Household Income,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,# Firearm Fatalities,Firearm Fatalities Rate,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural
,2,% Children in Poverty (Black),-0.029910629,0.370730784,0.357133419,0.306440304,0.297403893,0.113570885,0.246100762,0.305230138,0.023030894,0.273375631,0.059534293,0.076761884,0.345983358,0.036988159,-0.346593714,0.241432455,-0.18573652,-0.313391497,-0.184879069,-0.206856385,0.076866967,-0.180581061,-0.029400521,0.280861483,0.482990559,0.305140891,0.310252809,-0.189775785,0.213050972,-0.230603607,-0.211347211,-0.180523956,-0.153094828,-0.176288967,-0.137308981,0.008541599,0.13078648,0.069359079,0.049354657,-0.105146597,-0.074083713,-0.168437695,-0.071368019,-0.198335168,-0.015305626,-0.263113413,-0.200253432,-0.249647005,0.09533092,-0.222919642,-0.208455952,-0.411145134,-0.204018987,-0.218018534,0.008658095,0.391106114,1,0.218587083,0.420469046,-0.448418581,-0.452250804,0.16027656,-0.187789765,-0.221050994,0.262276532,-0.214659349,0.389180411,-0.131052763,0.009308176,-0.192997236,0.37071951,-0.247057528,-0.033288342,-0.022639559,-0.074655292,0.146331733,0.002424633,-0.111382786,-0.019881088,0.067095547,-0.218861127,-0.251845178,-0.35264252,-0.387226254,-0.060879973,-0.268772031,-0.200372921,0.385037842,0.417794923,0.283193856,0.302675281,-0.165641206,0.288755223,0.532886272,0.408586793,0.371434731,-0.145443201,0.422988518,0.603912,0.434608347,0.449889966,0.211483129,0.310976955,0.290533383,-0.122355134,0.042587857,-0.185072091,0.270519044,-0.211716204,0.2011055,-0.170228499,0.285144771,-0.203212503,0.337006383,0.040117802,-0.197488018,0.302723725,-0.010127823,0.479587797,-0.484598059,-0.515434974,-0.213791002,-0.481060378,0.317108001,-0.110644776,-0.05733657,0.326156282,-0.166838766,0.321334796,-0.238504614,0.088558094,-0.182513326,-0.026770789,-0.365789317,0.374044549,-0.132108915,0.060058451,-0.18949946,0.22758961,-0.201187722,-0.28698095,-0.204381554,-0.104192804,-0.205439364,-0.139958609,-0.250990474,0.171079458,-0.162664177,-0.110436173,-0.26495116,-0.34744445,0.295051481
,,% Children in Poverty (White),0.061501638,0.335014206,0.436484436,0.288223415,0.470009398,0.511094796,0.58541273,0.549821542,0.187017086,0.136237297,0.052547264,0.161844328,0.493622656,0.008038896,-0.237050394,0.069689576,-0.085641411,-0.498018073,-0.144913003,-0.15269917,-0.118084559,-0.155961465,-0.072818271,0.404690856,0.313069316,0.181190939,0.401593819,-0.125073652,0.232869991,-0.186391037,-0.241426037,-0.145989537,-0.191090681,-0.195760822,-0.282877005,0.102811809,0.136468232,0.064415125,0.115488363,-0.197136646,0.029893156,-0.037420544,-0.298144242,-0.130863907,-0.080510146,-0.119856633,-0.173265267,-0.195678759,-0.031966301,-0.164857315,-0.151405775,-0.356547826,-0.135633958,-0.159791221,0.448618098,0.517533393,0.420469046,0.263488125,1,-0.502714165,-0.477572906,0.227115341,-0.125031129,-0.148246312,0.521234112,-0.175649568,-0.072749746,-0.112187758,-0.077803809,-0.156842306,0.132449166,-0.152509263,0.212738496,0.047247631,0.163642776,0.328629328,-0.103467824,-0.038554212,-0.06918111,-0.079173018,-0.160061216,-0.092837118,-0.102043963,-0.28573697,0.060702125,-0.386040686,-0.149535697,0.162639886,0.42159674,0.242406701,0.429902398,-0.186837748,0.278209227,0.477691045,0.280739283,0.562423565,-0.188728038,0.221026946,0.745356671,0.584349964,0.627758686,0.583770283,0.601459799,0.144433951,-0.126731759,-0.046569807,-0.146313696,0.065810599,-0.117488005,0.237819186,-0.267390473,0.429020864,-0.177492031,0.171715271,0.232644608,-0.133243599,-0.022539838,0.021173125,0.48259856,-0.437832628,-0.347569807,-0.167494879,-0.492596092,0.379302942,0.067457091,-0.082197342,0.258070059,-0.209706387,0.173174475,-0.167184599,0.081031385,-0.14033205,0.153599112,0.020929435,0.160361859,-0.122801428,-0.124490757,-0.146578278,0.126011978,-0.157362281,-0.168672508,-0.150447602,-0.018445487,-0.111787525,0.222182083,-0.201504926,-0.182195885,-0.091384271,0.197064793,0.001982141,-0.21280266,0.104458296
,,% Frequent Mental Distress,0.086614494,0.313321413,0.456644884,0.265572949,0.280594384,0.774679217,0.925908513,0.956902434,0.271774192,0.068691271,0.024131452,0.098281113,0.803864955,0.122609135,-0.309381081,0.182934666,-0.072849452,-0.754136586,-0.085161848,-0.089392754,0.057851805,-0.091239294,0.023779998,0.44731853,0.339181268,0.267896443,0.234989553,-0.042513142,0.518574368,-0.132135188,-0.086611663,-0.103622139,-0.096735218,-0.119825746,-0.077497454,0.151234084,-0.045304976,0.102124582,-0.006756979,-0.241856847,-0.071107012,-0.047549519,-0.293151796,-0.125853921,-0.00850968,-0.087388119,-0.129698484,-0.116110188,-0.148021358,-0.127059543,-0.099075603,-0.416730599,-0.07290002,-0.113668638,0.527144112,0.731062213,0.310976955,0.517566245,0.601459799,-0.749384199,-0.742101716,0.387343734,-0.043366473,-0.083509809,0.429592067,-0.121515662,-0.090161566,-0.045195521,0.101489145,-0.101719078,-0.021793485,-0.067369252,0.424518613,0.251202118,0.357996223,0.255065438,-0.040954087,0.00176489,0.12545706,0.004715322,-0.111799019,-0.279654415,-0.114661838,-0.230878375,0.001670787,-0.197556081,-0.092767342,0.248597982,0.528822848,0.251760569,0.314337199,-0.079147882,0.084283814,0.309784254,0.240812231,0.336124233,-0.070081382,0.121643948,0.696872874,0.450809122,0.473772467,0.907412307,1,0.175015496,-0.073375492,-0.102151205,-0.09687872,0.160442071,0.00636802,0.248528762,-0.116420573,0.091547607,-0.106370567,0.071997919,0.506204533,-0.057494573,0.008910952,0.086797474,0.275181992,-0.705003107,-0.430256625,-0.498982072,-0.62529503,0.69300913,0.131573106,-0.073536643,0.177571862,-0.119204213,-0.010733066,-0.118556217,-0.137479898,-0.076461869,0.289777806,0.133964822,0.062687781,-0.093168382,0.037829544,-0.090960291,0.111096417,-0.171344866,-0.245280725,-0.096170939,-0.010074077,0.000269844,0.350651854,-0.195019661,-0.364030093,0.005350119,0.352448118,0.132405485,-0.164840889,0.002032622
,,% Non-Hispanic White,-0.048852457,0.307040443,0.282439542,-0.328908142,0.124480648,-0.826079919,-0.626267882,-0.194003249,-0.231746406,-0.013365662,-0.249601733,-0.039383768,-0.203531273,-0.022730005,-0.263000675,0.326248231,-0.148863801,0.29359871,-0.168324732,-0.177774908,0.018088835,-0.177093113,-0.097867004,-0.58564038,0.131036984,-0.426173791,0.026047382,-0.203021201,-0.292402303,-0.190658631,0.029236365,-0.176791575,0.004314237,-0.195562316,-0.017149914,-0.163164979,-0.033710764,-0.192349458,0.065084961,0.361815823,0.071099616,0.152489968,0.378711308,0.200339452,0.074264468,0.083570577,0.258172317,-0.211341975,0.320312389,-0.170549556,-0.181567414,0.360670157,-0.19146985,-0.173450406,-0.353975895,-0.391130524,0.171079458,-0.042952241,-0.182195885,0.189051737,0.252166144,-0.26060784,-0.206624933,-0.197743857,-0.201508058,-0.151307946,0.360962092,-0.165802383,-0.239925369,-0.157857437,0.464231733,0.152630783,-0.448046007,-0.070482943,-0.677923971,-0.119664368,0.113226695,-0.050022875,-0.225258472,0.018562285,-0.174026044,0.279039837,-0.293879679,-0.349282338,0.454976417,-0.195989647,-0.166407029,0.228251402,0.186813115,-0.392252527,0.084075569,-0.261892378,0.300991995,0.367181786,0.155214749,0.28974066,-0.306218024,0.371146372,-0.019486622,0.050128886,0.095702119,-0.681286261,-0.364030093,0.473965602,-0.1598002,-0.097276014,-0.151977534,0.603073306,-0.255524614,-0.149250792,-0.319046858,0.327148572,-0.18868994,0.256012856,-0.595138306,-0.196654087,0.182130822,-0.050409275,-0.206347638,0.241581301,-0.27409227,0.11133075,-0.132848128,-0.511480873,-0.050813552,0.231716997,-0.027219658,-0.25352384,0.412169125,-0.173331702,0.343230705,-0.174297772,-0.13033094,-0.530958989,0.532209083,-0.134656357,0.087086625,-0.170722049,-0.052231882,-0.137628108,-0.158229662,-0.16725179,-0.070364947,-0.264258162,-0.945977168,-0.088005222,1,-0.229326801,-0.697415678,0.225598436,0.116738487,0.497558225
,2,% Disconnected Youth,0.035866493,0.301961584,0.382815616,0.407093641,0.335107301,0.395571778,0.370890014,0.186583632,0.166483019,0.078145938,0.260738325,0.052460021,0.321639225,0.08063973,0.119437114,0.150208963,-0.402364063,-0.371666634,-0.212526189,-0.226156873,-0.336491792,-0.21952474,-0.286676615,0.531266516,0.258993506,0.373793487,0.474429052,-0.190055361,0.330814867,-0.262070262,-0.530613788,-0.213914284,-0.467050625,-0.225799934,-0.481065371,0.115995163,0.266928637,0.104908011,0.129067919,-0.432577623,-0.166823257,-0.099764141,-0.445665271,-0.362754899,-0.076333138,-0.111140595,-0.433853241,-0.246600072,0.082699919,-0.248567075,-0.226220923,-0.677638594,-0.204465008,-0.242406703,0.258468886,0.507445566,0.479587797,0.219059105,0.48259856,-0.419117222,-0.446372407,0.320050425,-0.194136826,-0.227984074,0.255102132,-0.271215312,0.168829066,-0.151870917,-0.051454393,-0.222537326,0.282238388,-0.335193747,-0.119627796,-0.414172219,0.289839134,0.285718818,0.179380436,0.303730062,0.236929496,0.126609487,-0.241951265,-0.073340526,-0.257677006,-0.130053689,-0.211965368,-0.256291012,-0.224457718,0.326544975,0.312900412,0.428320088,0.356445182,-0.184712741,0.163105757,0.435320725,0.410932045,0.27241822,-0.122854338,0.298395081,0.39201357,0.408402952,0.419740287,0.36766999,0.275181992,0.113818145,-0.133794358,0.218730254,-0.223202526,-0.184349232,-0.22676745,0.070673951,-0.144850638,0.354785764,-0.235192496,0.449709383,0.101924851,-0.196908456,0.310663163,-0.308318342,1,-0.473119971,-0.174895724,-0.312210921,-0.368258345,0.42901709,0.052466905,-0.100099096,0.378930304,-0.196631091,0.321452177,-0.257061762,0.387906284,-0.217694557,-0.392083913,-0.144437758,0.277032636,-0.166493047,-0.145932451,-0.21663247,0.008527449,-0.226144677,-0.350428041,-0.226775013,-0.116383272,-0.175801747,0.278902181,-0.317384448,-0.206347638,-0.138157455,0.19810223,-0.569000493,-0.43931086,0.301509537
,,% Obese,0.014516467,0.280493936,0.247601326,0.043667507,0.243123213,0.059765719,0.122905621,0.158779076,0.129283564,0.012149158,-0.098035969,0.117674347,0.322712076,1,-0.067536045,0.502525909,0.000571771,0.012106532,-0.083730814,-0.073831712,0.028321291,-0.151943275,0.060861333,0.162308478,0.20287476,0.142996252,0.261392854,-0.107994143,-0.061197503,-0.168702277,-0.064538877,-0.15175294,0.083824193,-0.206514122,-0.062913192,0.017902492,-0.152981409,-0.06045953,0.110424927,0.075948217,0.086293277,0.115705967,0.004835054,0.18352658,0.046338922,0.174268518,0.13931338,-0.17718989,-0.040673609,-0.164541267,-0.140114326,-0.157633508,-0.115309302,-0.145359101,0.174492847,0.059419174,0.036988159,0.036994528,0.008038896,-0.130387516,-0.118850759,-0.01975592,-0.09868714,-0.1216245,0.122086169,-0.115606288,-0.163744159,-0.093629863,0.310142896,-0.132269483,0.036649242,0.224774998,0.107477659,0.127691697,0.038800323,-0.048273923,0.205555184,0.019701235,0.147186761,0.225323301,-0.137901221,0.003674965,-0.321322336,-0.300768331,-0.002328002,-0.32863265,-0.09488444,0.251318955,0.292976906,0.040415519,0.304589804,-0.208673754,0.103991853,0.296490641,0.158603519,0.316590567,-0.274229344,0.294638883,0.552146151,0.424413124,0.471671264,0.081155152,0.122609135,0.259818475,-0.154124454,0.018227287,-0.115278277,0.259190706,-0.072663028,-0.117481666,-0.283708567,0.008284142,-0.133616769,0.064263792,0.365262424,-0.108247858,-0.203888127,0.053375433,0.08063973,-0.12548623,-0.135550158,-0.031634684,-0.133319977,0.170612806,0.012388872,0.217225767,0.328439218,-0.192193255,0.123145435,-0.13040328,-0.007149084,-0.135781281,0.154431614,0.091813395,-0.165566907,-0.089765681,0.404705978,-0.132688227,-0.053995215,-0.17212213,-0.101087772,-0.101948522,0.059504967,-0.105636559,-0.086371092,-0.155350938,-0.022730005,-0.10848863,-0.070336433,0.020296393,0.139547613,-0.133721399
,,% Homeowners,0.019935316,0.270880318,0.264607457,0.027512858,0.247382179,-0.221578379,-0.181703799,-0.094137292,-0.140369087,-0.012291192,-0.060394774,0.008694314,-0.154468403,-0.007149084,0.171758554,0.204650318,-0.226050505,-0.052299288,-0.289683625,-0.305454281,0.07556239,-0.384502778,-0.271923374,-0.160570901,0.052653471,-0.199689503,0.191054853,-0.286945711,-0.001133412,-0.317944882,-0.217859507,-0.303589487,-0.273604965,-0.329269548,-0.316960398,-0.282523578,-0.050358173,-0.016633105,0.067602146,-0.085005552,-0.248099793,-0.05526201,-0.13704997,-0.139125926,-0.152192379,-0.086522726,-0.172066581,-0.371441707,0.277416696,-0.300296085,-0.298953914,-0.012885143,-0.275209289,-0.298717362,0.059197424,-0.033095134,0.088558094,-0.00553611,0.081031385,0.067003553,0.006360131,0.021724599,-0.296241766,-0.292903473,-0.115569603,-0.331666474,0.271361639,-0.267826403,-0.37295372,-0.371844449,0.420589668,-0.005305286,-0.378880963,-0.345138918,-0.146435358,-0.138418983,-0.011961092,0.188526,-0.123541783,-0.096141652,-0.298648561,0.364584611,-0.158765404,-0.094331207,0.081835667,-0.183542997,-0.366042642,0.174655257,0.200430104,-0.018928585,0.173034258,-0.391998489,0.124990616,0.343724531,0.113218931,0.141744989,-0.389843746,0.14245737,-0.249274895,-0.115427051,0.056787144,-0.196374571,-0.137479898,0.318696515,-0.335985981,-0.266897295,-0.296704323,-0.010732575,-0.325079077,-0.194005642,-0.411629048,0.256148427,-0.398338508,0.421920691,-0.353434622,-0.282968174,0.184639537,-0.13016728,0.387906284,0.032179816,-0.054841271,0.176127332,-0.089425375,-0.068180938,-0.131549393,-0.080982214,0.120713067,-0.382382834,0.433690423,-0.291557215,1,-0.314142902,-0.318271483,-0.232827632,0.413151124,-0.258354875,-0.14746705,-0.301398203,0.026000693,-0.232828531,-0.25082218,-0.308895029,-0.177818385,-0.289498459,-0.251825962,-0.296325564,0.343230705,-0.260523794,-0.274191818,0.052217577,-0.097723771,0.402693813
,,% LBW (White),-0.111379884,0.268394723,0.029403058,0.321279052,0.226145869,0.11859217,0.135634189,0.104196005,0.700192045,0.200584131,0.242216613,1,0.166004814,0.117674347,-0.061932848,0.17838649,0.011932518,-0.033402728,-0.053192741,-0.060348889,-0.075704971,-0.065541978,0.049055072,0.222457014,0.185425975,0.15293027,0.285702472,-0.058570911,-0.050026086,-0.082604447,-0.016860886,-0.063167687,-0.066658587,-0.079776855,-0.038425698,0.057830005,0.129871947,-0.070040363,0.072572405,-0.235528899,0.036478115,-0.061402721,-0.25772019,-0.153142772,-0.162616671,-0.174489106,-0.141730732,-0.081126449,-0.106404191,-0.076024744,-0.068231036,-0.116550417,-0.060613601,-0.07493135,0.246429583,0.182799942,0.076761884,-0.057478256,0.161844328,-0.152599449,-0.171652634,0.083365087,-0.054752967,-0.067070397,0.084143427,-0.081837867,0.062876295,-0.032587691,0.203435663,-0.059650512,0.170532178,-0.182698319,-0.086190335,-0.074066294,-0.08530433,0.160853532,0.093848029,-0.051121756,0.002797612,0.255453227,-0.072778954,-0.078806057,-0.264108769,-0.179175056,-0.264799227,-0.203216269,-0.060116352,0.280829249,0.139261521,0.302955154,0.278435589,-0.065054074,0.169192014,0.295892514,0.425038463,0.255279004,-0.063408794,0.330176739,0.10633533,0.451316205,0.245339105,0.121466788,0.098281113,0.032619536,-0.056469366,-0.039354667,-0.070426175,0.056237499,-0.06423942,0.022625031,-0.089701401,0.100533683,-0.056299224,0.089735692,0.087469771,-0.060750048,-0.140588428,0.043991652,0.052460021,-0.139547662,-0.133712624,0.077308246,-0.135474044,0.085696247,-0.034289849,-0.143544008,0.214605426,-0.075094805,0.104063021,-0.07613159,0.008694314,-0.067883093,-0.021313043,-0.035415769,0.009237397,-0.053737393,0.000692056,-0.060181083,0.069805193,-0.072547961,-0.085042448,-0.063509471,-0.061768979,-0.045624739,0.042571515,-0.102367761,-0.039383768,-0.043766824,-0.072349919,-0.096163306,-0.18719209,-0.097384677
,,% Unemployed,0.176897909,0.268100621,0.358587398,0.190651822,0.398016235,0.536664338,0.544527925,0.447795208,0.328849585,-0.01682296,0.055385027,0.246429583,0.458840963,0.174492847,-0.175874264,0.149318835,-0.053795326,-0.425393737,-0.024828295,-0.0231897,-0.010429172,-0.044382159,-0.040282942,0.351852056,0.064650073,0.031403182,0.297766016,0.005102749,0.135432494,-0.046621835,-0.165224607,-0.044741584,-0.060004791,-0.072520682,-0.217262993,0.127509778,-0.082881199,0.221512831,0.094712973,-0.202384056,-0.163826581,-0.007348592,-0.31000114,-0.03661023,-0.129186198,0.005333695,-0.063796912,-0.053450612,-0.177128729,-0.041644295,-0.025657311,-0.282894211,0.017572262,-0.035810539,1,0.543693639,0.008658095,0.279413587,0.448618098,-0.371306152,-0.444789664,0.373176439,0.0014137,-0.011887926,0.380905842,-0.049255065,-0.288114659,-0.003349703,0.181495996,-0.039262806,-0.056831282,0.171663725,0.221240883,0.055646501,0.283781796,0.192972762,0.024513277,0.285567958,0.168750376,0.206339488,-0.032876008,0.058680092,-0.139354928,-0.081485009,-0.061452974,-0.283265114,-0.022119428,0.22638924,0.327465253,0.175439793,0.429636022,-0.054193544,0.050789289,0.429994527,0.078835414,0.149966098,-0.040510259,0.011126255,0.293325599,-0.096684987,0.231152313,0.562646329,0.527144112,0.131890375,-0.038675183,0.003854805,-0.021215277,0.178620231,0.033030121,0.074696043,-0.087562347,0.086615882,-0.046305166,0.004177148,0.400403166,-0.001524243,-0.285624129,-0.096418986,0.258468886,-0.405736061,-0.265500526,-0.169203663,-0.308016883,0.434131927,0.005587258,0.015775739,0.281854794,-0.064371008,0.121563448,-0.025856838,0.059197424,-0.025785177,0.114560064,0.128276169,-0.03093153,-0.015931764,0.17838098,-0.036182287,-0.166251398,-0.039218031,-0.056965604,-0.054342448,-0.06611008,0.02354476,0.286600301,-0.078205202,-0.353975895,0.032951583,0.212849888,0.028134478,-0.010698073,-0.11694803
,,% Free or Reduced Lunch,0.048797262,0.255730166,0.378955164,0.374454026,0.3407274,0.692783163,0.742676042,0.623983185,0.244362366,0.139238602,0.103472822,0.085696247,0.580979726,0.170612806,-0.082828807,0.146097586,-0.110965449,-0.581796364,-0.007010011,-0.007936779,-0.038291937,-0.032145151,0.066880486,0.63164797,0.364526061,0.482730083,0.368411123,0.031474108,0.583490842,-0.059458142,-0.115046873,-0.024515532,-0.02815437,-0.024411462,-0.075857173,0.171118133,-0.018159889,0.146599004,-0.027395348,-0.396134518,-0.11484501,-0.190860844,-0.385352588,-0.209582455,-0.058851707,-0.122252568,-0.222172103,-0.050415544,-0.235490429,-0.059108349,-0.025977655,-0.592312753,-0.005515934,-0.04368956,0.434131927,0.761374029,0.317108001,0.347272291,0.379302942,-0.725024713,-0.712491901,0.286876814,0.030628581,-0.014526388,0.456351239,-0.048065586,0.007526143,0.028960199,0.160634107,-0.044326803,0.019975472,-0.097539313,0.320744321,0.112645709,0.425622768,0.162895327,-0.139569027,0.073888339,0.158070709,-0.035164745,-0.041956034,-0.236824689,-0.122505017,-0.228148697,-0.192976558,-0.237752785,-0.037507629,0.25278881,0.500819045,0.415631491,0.368459163,0.029601825,0.07188789,0.193734482,0.263273898,0.226603544,0.102231406,0.117851175,0.721946342,0.550479074,0.450909391,0.732660042,0.69300913,0.085784272,0.021181172,0.004605,-0.027171016,-0.027227842,0.064889761,0.122335913,0.040597945,0.0911426,-0.023604025,0.101912065,0.494219078,0.016330678,0.059141257,0.024678439,0.42901709,-0.75805958,-0.38374923,-0.422459026,-0.545135867,1,0.050975418,-0.112103445,0.328088221,-0.002398197,-0.016232056,-0.053669701,-0.068180938,-0.006113629,0.155333048,0.10050917,-0.000654025,-0.00837613,0.109706485,-0.014830813,0.09408918,-0.104594246,-0.207082908,-0.034145505,0.005508467,0.071794715,0.468347771,-0.14781263,-0.511480873,0.079612539,0.43307604,-0.130257147,-0.199287981,-0.097600973
,,% Single-Parent Households,0.084693139,0.250835186,0.205647913,0.329301209,0.217788207,0.356661962,0.405943537,0.411922107,0.262513362,0.140867566,0.174989263,0.084143427,0.409460295,0.122086169,-0.263622625,0.124182867,-0.003754889,-0.324796197,0.051129322,0.055432241,-0.022532459,0.0551039,0.129288164,0.348518446,0.429360577,0.232762843,0.111751041,0.057201916,0.118624192,0.032365355,-0.01696144,0.039577572,0.05515559,0.050076496,-0.007066316,0.014329204,-0.090345211,0.078199381,-0.003231681,-0.077457036,0.017325234,0.027019246,-0.09074947,0.076856267,-0.017007153,0.141171018,0.106859337,0.030551132,-0.292928281,0.021456378,0.036673235,-0.109225379,0.043025036,0.029447235,0.380905842,0.451648088,0.262276532,0.262325412,0.521234112,-0.381330304,-0.32416381,0.15845985,0.067268868,0.039824489,1,0.041951685,-0.098849269,0.063651165,0.13984705,0.057030477,-0.04589644,0.06412485,0.284194782,0.29770561,0.050263378,0.372359645,-0.114480671,0.051603412,0.064928349,0.024521135,0.031444554,-0.114785634,-0.227258837,-0.300894396,-0.145389402,-0.14304797,0.064568765,0.240577655,0.329475502,0.352061329,0.318555861,0.101525192,0.088483839,0.187570107,0.198646122,0.168059581,0.155123145,0.214641856,0.629381239,0.469635813,0.408481742,0.398785203,0.429592067,0.099436545,0.073430621,0.038597661,0.04051079,0.160169435,0.083842455,0.193124262,0.114425891,0.132697606,0.060326031,-0.103640023,0.305846909,0.04912475,-0.078276453,0.049023241,0.255102132,-0.344726844,-0.33136738,-0.227254646,-0.362843056,0.456351239,0.078563092,0.060642364,0.339188528,0.056444224,0.057121962,0.026898508,-0.115569603,0.063312635,0.327497211,0.094220992,-0.033584364,0.04370844,0.118738407,0.046137197,-0.059166028,-0.014364484,-0.063615596,0.041050694,0.04848923,0.074057764,0.1632299,-0.010740359,-0.201508058,0.064331925,-0.022802804,0.024944941,-0.046397664,-0.082316797
,,Preventable Hosp. Rate,-0.002056224,0.235561877,0.012654903,0.280599837,0.216746201,0.173919382,0.16868682,0.113023717,0.12481101,-0.132698417,-0.011494218,0.057830005,0.149139991,0.017902492,-0.12521534,-0.027779193,-0.1400862,-0.088514145,-0.034950658,-0.031346163,-0.133822791,-0.053687032,0.096249286,0.263723627,0.016065017,0.06787719,0.244450822,-0.028985338,-0.001120011,-0.048278054,-0.116757825,-0.042059159,-0.134635055,-0.045056246,-0.161478719,1,0.541070952,0.448590716,0.835260481,-0.187891085,-0.077896193,-0.108453752,-0.257340813,-0.048170536,0.022608055,-0.101004144,-0.12531984,-0.074871101,-0.161669138,-0.038464663,-0.034411043,-0.250408352,-0.027009067,-0.037574144,0.127509778,0.103901868,0.008541599,0.068500786,0.102811809,-0.165448163,-0.153440336,0.04110671,-0.030055319,-0.032971551,0.014329204,-0.043176215,-0.169507672,-0.026306509,0.273516734,-0.062160357,0.058461801,0.073360706,0.060293143,-0.055778221,0.082454079,0.063079599,0.263183733,0.1326984,0.021924125,0.103055982,-0.036723434,-0.029335806,-0.272812378,-0.136400126,-0.094322806,-0.268294537,-0.036353018,0.195588708,0.078781838,0.277438119,0.282054516,-0.082997982,0.232742052,0.187502012,0.165299542,0.304058856,-0.063626371,0.069947156,0.093810479,0.238531731,0.205161658,0.17316833,0.151234084,-0.050458532,-0.054614957,0.049977441,-0.028678179,0.030144205,-0.028124671,0.127742001,-0.1030479,0.034205092,-0.075112257,0.092264383,0.201520774,-0.029696779,-0.139547676,-0.073758915,0.115995163,-0.160980882,-0.100944059,-0.018436218,-0.105546758,0.171118133,-0.116876363,-0.101440843,0.145668827,-0.048475339,0.055748422,-0.038562909,-0.282523578,-0.034454733,-0.046951039,0.149364798,-0.125327436,-0.018853782,0.050742113,-0.03714965,0.036248148,-0.032700654,-0.020313372,-0.022787757,-0.04413443,-0.034281972,0.13660062,-0.0414377,-0.163164979,-0.023337387,0.276558661,-0.031884385,-0.03407949,0.033940113
