,FIPS,Years of Potential Life Lost Rate,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,# Primary Care Physicians,PCP Rate,# Dentists,Dentist Rate,# Mental Health Providers,MHP Rate,Preventable Hosp. Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,# Some College,Population,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,# Single-Parent Households,# Households,% Single-Parent Households,# Associations,Association Rate,Annual Average Violent Crimes,Violent Crime Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,Life Expectancy,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths.1,Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths.2,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,% Insufficient Sleep,# Uninsured.1,% Uninsured.1,Other PCP Rate,% Disconnected Youth,Household Income,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,# Firearm Fatalities,Firearm Fatalities Rate,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural
% LBW,-0.047898242,0.203783938,0.11548346,0.29140077,0.144338415,0.325195411,0.291788097,0.210631874,1,0.254948007,0.587574715,0.659108343,0.280532118,0.13707922,-0.13381021,0.080903522,-0.059201378,-0.174312319,0.087842459,0.086703766,0.010697943,0.108275084,0.251959182,0.312228336,0.177273038,0.213740156,0.169910692,0.046599568,-0.098224661,-0.047784666,-0.117959322,0.031597951,-0.013292511,0.114180942,0.032393161,0.120759412,0.089296617,0.099962293,0.009928767,-0.177231763,0.015624726,0.006481701,-0.182903182,-0.081290787,-0.135967672,-0.060701951,-0.052155617,0.015045229,-0.303689449,0.054857341,0.080080871,-0.111506586,0.119468906,0.044059485,0.370492563,0.335732611,0.057472868,0.02788491,0.125647589,-0.257654456,-0.314323461,0.24802543,0.116434737,0.066278322,0.361077136,0.007626971,-0.142318359,0.158803202,0.329134831,0.059642048,-0.106830845,0.008528589,0.101689391,0.0816708,0.018918245,0.069786135,0.133456807,0.016408814,0.108766145,0.226424893,0.051505394,-0.037919969,-0.211252788,-0.236091528,-0.37508826,-0.144360796,0.08409777,0.25959887,0.20061064,0.337446696,0.227610965,0.06076263,0.09340434,0.163489736,0.213979592,0.046529497,0.188263444,0.249383528,0.092207792,0.368965517,0.144428152,0.299245078,0.235985796,0.05290186,0.109671757,0.218224333,0.080121456,0.099107645,0.119088555,0.099688847,0.04913422,0.092658745,0.048534173,-0.153392959,0.369916033,0.002357912,-0.312404947,0.143905292,0.073100812,-0.278406308,-0.129462682,-0.091350974,-0.089398262,0.244288386,-0.075628908,0.044524088,0.445462789,0.036293214,0.004894225,0.048004579,-0.155341839,0.066934652,0.15216237,0.02189058,-0.095728059,0.182202592,0.264554788,0.021763232,-0.143295732,0.061709482,0.029326294,0.054482944,0.043378407,0.109325758,0.120172571,-0.011559269,-0.253413006,0.022838869,-0.028740055,-0.033879357,-0.005750971,-0.125127326
Preventable Hosp. Rate (White),0.012000446,0.25331555,0.069614449,0.159878573,0.252034221,-0.003791952,0.023472391,0.028059276,0.009928767,-0.105705657,-0.14026233,-0.005234942,0.177245525,0.144036877,-0.185115149,0.088342406,-0.10806807,0.067455825,-0.020271523,0.002168434,-0.045019947,-0.105307027,0.001248241,0.171427656,0.036972418,0.133861747,0.28074293,-0.072000489,0.04063554,-0.142359962,-0.15087393,-0.141749724,-0.219436548,-0.208389352,-0.279303464,0.831756869,0.381001986,0.205459894,1,-0.121239479,-0.009870296,-0.139961664,-0.183754277,-0.171070117,0.025976358,-0.191328667,-0.164842813,-0.187271465,-0.011318317,-0.078584202,-0.069869797,-0.111790865,-0.081438807,-0.090192247,0.192906889,0.01158882,0.087281941,-0.043819496,0.181608691,-0.047685847,-0.094104381,0.095721115,-0.084988778,-0.076352243,-0.020649356,-0.079301525,0.009998551,-0.058412725,0.068653888,-0.094434191,0.196563028,0.062081007,-0.061948069,-0.007379346,-0.057773958,-0.023433559,0.115598832,0.103364413,-0.039797885,0.159571721,-0.083469553,0.12392333,-0.286006614,-0.194855874,0.00813637,-0.380221862,-0.060985739,0.258393132,0.093562434,0.141371379,0.306152638,-0.190784787,0.296187859,0.208577713,0.290204082,0.35627081,-0.247572564,0.254441761,0.194805195,0.191625616,0.319648094,0.012998481,0.032016475,0.110701761,-0.15217795,-0.050630268,-0.044836122,0.220273091,-0.08629169,-0.020778071,-0.359991081,0.086004462,-0.145088313,0.303681832,0.095344759,-0.065756979,0.100305089,-0.110742768,0.047717825,-0.025828802,-0.228989912,0.008823557,-0.153510384,-0.005970742,-0.149197531,0.006897022,0.222895719,-0.121389995,0.230745715,-0.089313598,0.057414324,-0.079434109,-0.018358461,0.003010849,0.004179955,0.046896111,0.186503011,-0.055776979,0.139982631,-0.044514588,0.018706427,-0.084781116,-0.032025136,-0.125687651,-0.143594776,-0.035453182,0.09729424,-0.117445156,-0.133794958,-0.08585654,-0.01238263,0.101992979
% Non-Hispanic White,-0.036115022,0.338365129,0.232976761,-0.371721827,0.169144648,-0.759852223,-0.496454038,-0.101363353,-0.253413006,0.01759609,-0.314079609,-0.040903402,-0.154134819,-0.085588387,-0.347156692,0.364340394,-0.189522787,0.173495268,-0.077056231,-0.108650949,-0.006159585,-0.119828247,-0.269482413,-0.542753419,0.120408651,-0.474303696,0.040214665,-0.151846843,-0.223117129,-0.09987559,-0.032531675,-0.103239538,-0.036394742,-0.190357558,-0.07792883,-0.109184348,-0.022300551,-0.314444307,0.09729424,0.324315678,0.081359938,0.155171118,0.288136863,0.212102565,0.046285277,0.121343141,0.24803537,-0.088571501,0.36313438,-0.117438483,-0.164871136,0.352809729,-0.144501364,-0.105529386,-0.215861537,-0.255091788,0.135467678,-0.000721241,0.077847417,0.139008507,0.156154241,-0.161543461,-0.196059801,-0.166740598,-0.228974767,-0.005196321,0.353245274,-0.185683627,-0.238845897,0.038043296,0.454971865,0.14084454,-0.361577945,-0.028585923,-0.591410732,0.050254366,0.139120549,0.019174871,-0.189922693,-0.049519377,-0.099509947,0.290226649,-0.291708058,-0.177316017,0.524083835,-0.160255398,0.003016434,0.257604073,0.133286474,-0.425767781,0.141887595,-0.174940928,0.409068007,0.238636364,0.088367347,0.297703406,-0.330552198,0.363598427,0.11038961,-0.017241379,0.113269795,-0.545240349,-0.217736216,0.495742921,-0.076447429,-0.117737866,-0.008749911,0.603375525,-0.196728126,-0.121149876,-0.333632934,0.379109864,-0.045355551,0.266744321,-0.612497368,-0.146787184,0.180999108,-0.119762995,-0.061761427,0.202106084,-0.272705284,-0.023309795,-0.249205083,-0.47230802,0.057342246,0.210088104,-0.043260736,-0.197749879,0.423027279,-0.042236286,0.45510859,-0.056565499,-0.066930616,-0.540325176,0.596594822,-0.048021594,0.050119831,-0.134467501,-0.091119643,-0.157351679,-0.228833601,-0.148149202,-0.189283187,-0.489060775,-0.911447805,0.162394389,1,-0.473995447,-0.747925129,0.318329983,0.143981192,0.513503628
% African American,-0.001448848,0.206579101,0.080316742,-0.286136444,0.043649798,-0.081633475,-0.007227399,0.061963261,0.264554788,0.026527511,-0.219344322,0.030411915,0.324485667,0.368358812,-0.312184767,0.292796459,0.013051803,0.173022969,0.480179249,0.452948446,0.190028056,0.437365108,0.308546915,-0.130717099,0.031229713,-0.004460944,0.035587342,0.408069838,-0.282621746,0.325637571,0.047159449,0.395003592,0.28494774,0.314701436,0.130154406,0.137606068,0.124418568,-0.034207268,0.186503011,0.273575722,0.187038335,0.141776599,0.241526272,0.313763009,0.198270395,0.244150679,0.356419882,0.306527308,-0.159409302,0.438695464,0.45126335,0.041679749,0.438891335,0.418329819,0.23497195,-0.04290087,0.057198089,-0.025615907,-0.128594448,0.035942939,0.00599861,0.028444956,0.423351795,0.414724799,0.142768875,0.462891027,-0.139804319,0.497798418,0.448380053,0.442397402,-0.030665511,0.579133319,0.124963477,0.284343427,-0.123198158,-0.058048491,0.192110641,0.151945617,0.052466066,0.233985664,0.429427196,0.244151486,-0.273029916,-0.197501546,0.221401223,-0.091287718,0.459359197,0.255325758,0.06737908,-0.285337243,0.106625616,0.177809965,0.119510452,0.03702346,-0.11244898,0.124989328,0.15416829,0.308691309,0.450649351,0.122660099,0.169354839,-0.018767292,0.040787812,0.165187238,0.465542536,0.52493447,0.520998399,0.643766178,0.340699818,-0.156619286,0.156997832,-0.152675512,0.410847718,-0.066544064,0.364773687,0.393692193,-0.34764088,0.065804305,-0.271285237,0.053159594,-0.268652698,0.082127052,-0.002176091,0.059483446,-0.224228321,0.410436352,0.280282351,0.234498784,0.060827935,0.439012432,-0.137397847,0.446181346,0.267054859,-0.122587884,-0.172603729,0.797702046,1,0.412027108,-0.197784327,0.438584212,0.314558155,0.384519919,0.223142001,0.24951316,-0.359178576,0.525333703,0.050119831,0.256939351,-0.173857548,0.060772558,0.509880145,-0.095314208
Association Rate,-0.031061559,0.32422616,0.531707156,0.293487158,0.294048365,-0.136255572,-0.085903428,-0.005018811,-0.142318359,0.356894819,0.020211301,0.019448798,-0.118745572,-0.150434474,-0.036547296,0.231671161,-0.107862836,-0.184678109,-0.50925288,-0.532355787,-0.0998887,-0.55752313,-0.153745343,-0.012854682,0.611823897,0.287124476,0.27001862,-0.540241772,0.247959724,-0.490306891,0.016744274,-0.494857827,-0.205893186,-0.437427394,-0.103259484,-0.143525263,-0.041384736,-0.115594469,0.009998551,-0.097337653,-0.132839394,-0.235232904,-0.055750269,-0.303756297,-0.176974897,-0.334874446,-0.270366804,-0.515317041,0.394859243,-0.531029372,-0.559781453,-0.017555769,-0.574056072,-0.535629457,-0.248007323,0.087192344,0.435184943,0.015938506,0.017853903,-0.162669596,-0.047620338,-0.151195936,-0.556220321,-0.549500764,-0.053676415,-0.33172562,1,-0.512902932,-0.238926813,-0.59089243,0.505933721,-0.460920444,-0.42828476,-0.331747601,-0.294554723,-0.024171545,-0.030499153,0.112869198,-0.086136066,0.167124228,-0.519614635,-0.237227993,-0.265093508,-0.560061843,-0.113447864,-0.294645134,-0.578641142,0.25509363,0.549971445,0.324230608,0.247122705,-0.58561179,0.454829865,0.628665689,0.506836735,0.518483736,-0.46370674,0.558416267,0.680519481,0.457635468,0.463709677,-0.094718843,-0.023207653,0.338872462,-0.486914307,-0.285901635,-0.49505081,0.098033827,-0.523988568,-0.098032082,-0.455478867,0.349675585,-0.518824144,0.544378011,-0.432444872,-0.514178097,0.492828779,-0.001666248,0.2346552,-0.168973958,-0.565054354,-0.177239618,-0.286976046,-0.047943709,-0.175468523,-0.139264106,0.306617332,-0.554780595,0.412311286,-0.511955696,0.243899126,-0.536080534,-0.325467701,-0.242340794,0.512389949,-0.418416211,-0.139804319,-0.494219537,0.322140203,-0.545465164,-0.341939561,-0.508072053,-0.257117821,-0.595719713,-0.214193418,-0.37153737,0.353245274,-0.593352355,-0.248068285,0.016552156,-0.430031659,0.395236977
Teen Birth Rate (Hispanic),0.056569253,0.181704517,0.281318124,0.465991716,0.272858356,0.604575609,0.435963481,0.141362983,0.213740156,0.26416268,0.155869813,0.100678029,0.299576138,0.168901338,0.048106248,0.075520074,-0.009243954,-0.210596323,-0.259059115,-0.262406707,-0.042857703,-0.224524321,0.143177991,0.811807379,0.495595374,1,0.437747569,-0.284174986,0.376815423,-0.29010736,-0.040801474,-0.274850497,-0.126593583,-0.263953293,-0.164215457,0.118775923,-0.018025589,0.210247879,0.133861747,-0.405191509,-0.082529353,-0.219974894,-0.41631877,-0.344703072,-0.164451498,-0.350197773,-0.332055665,-0.273662407,-0.107813572,-0.307190966,-0.267252577,-0.499560301,-0.322462765,-0.33458454,0.077035235,0.401813605,0.318623619,0.035951326,0.145790594,-0.335047461,-0.245499173,0.048305199,-0.237662337,-0.274346943,0.281238222,-0.29560604,0.287124476,-0.16548347,0.286869888,-0.321455571,0.125783606,-0.495445997,0.039447266,-0.173162154,0.198612226,0.073795349,-0.083770431,0.114416315,0.071967963,0.201449473,-0.323574423,-0.469721098,-0.224720744,-0.367552903,-0.33278791,-0.328843399,-0.333937241,0.254104336,0.377156392,0.497930798,0.325273372,-0.152487301,0.151236524,0.393695015,0.547142857,0.366345087,-0.074634835,0.294627478,0.702597403,0.678325123,0.569281525,0.48319513,0.266990458,-0.129484144,-0.227253418,-0.022105129,-0.352983613,-0.199166574,-0.189630037,0.160306347,-0.180351369,0.138449927,-0.282095234,0.280716501,0.305807298,-0.273201789,0.201634081,0.123783906,0.350234229,-0.401465206,-0.3461634,-0.193692792,-0.185067435,0.461306123,-0.09724515,-0.129024799,0.323034628,-0.253954081,0.067215033,-0.363042762,-0.277712257,-0.33758961,-0.138313643,0.240902422,-0.131614231,-0.212268725,-0.004460944,-0.267415801,0.321745334,-0.26913807,-0.108276312,-0.285778758,-0.061361447,-0.079333089,0.470606419,-0.442183221,-0.474303696,-0.052101995,0.371655529,-0.316697363,-0.483534891,-0.181282023
Preventable Hosp. Rate,0.025352536,0.239043757,0.076687369,0.2499714,0.240863593,0.170645749,0.176747583,0.131235676,0.120759412,-0.119452966,-0.058615826,0.024033018,0.261411109,0.162802769,-0.049336664,-0.00029658,-0.084325854,-0.013358352,0.020565131,0.063656907,-0.1072202,0.038650929,0.080280536,0.264916316,0.017583835,0.118775923,0.2737847,0.066480476,0.030518885,-0.013386314,-0.096834687,-0.036470815,-0.105943529,-0.062349978,-0.195984435,1,0.45374179,0.466194764,0.831756869,-0.178093757,-0.033542965,-0.110285346,-0.249427401,-0.115055454,0.026517542,-0.098402256,-0.114586347,-0.125799643,-0.130393482,0.05581551,0.074922221,-0.200824564,0.085235031,0.042496357,0.317579849,0.199970345,0.049136119,0.059231934,0.184372368,-0.13505418,-0.174788719,0.139290874,0.0943988,0.075463749,0.118827966,0.006569178,-0.143525263,0.091734707,0.146666334,-0.051145433,0.064733119,0.126539296,0.106840993,0.068295468,0.102470896,0.016063342,0.14695431,0.143437315,0.002582774,0.114373382,0.047208002,0.083505816,-0.296222878,-0.161639337,-0.088597202,-0.317539549,0.050531016,0.249931178,0.089844758,0.259945313,0.282831868,-0.182667936,0.269222995,0.219941349,0.327040816,0.243404764,-0.125563785,0.120600918,0.154545455,0.21182266,0.256231672,0.171366698,0.148376388,-0.059364274,-0.104028287,0.004814968,0.070580707,0.115661784,0.032238041,-0.010196997,-0.241420764,0.02035795,-0.097053316,0.168501287,0.289376163,0.052307309,-0.127745582,0.000333325,0.136502628,-0.189731663,-0.128119119,-0.012386867,-0.112975095,0.224339598,-0.091842493,-0.063192096,0.214295653,-0.078736219,0.098143068,0.041987223,-0.038075443,0.053036781,0.048026096,0.177709885,-0.160745232,0.098119541,0.137606068,0.053173979,-0.006879526,0.062372811,0.035545319,0.012669245,-0.0655597,0.073239495,0.025401895,-0.009328421,-0.109184348,0.043192136,0.025498286,-0.021069597,0.054804972,-0.034909483
% Obese,0.059216793,0.245957273,0.292324048,0.077906277,0.24391886,0.132207343,0.114841371,0.099431726,0.13707922,0.014364667,-0.077388099,0.132173718,0.31394799,1,-0.106288673,0.376467527,0.026964488,0.080972598,0.329299421,0.331616168,0.100284757,0.288384325,0.177113508,0.191191304,0.240039647,0.168901338,0.236243857,0.352812511,-0.100741315,0.273383694,-0.025128347,0.298102556,0.15492674,0.183514809,-0.01009763,0.162802769,-0.104387434,0.031754882,0.144036877,0.103227137,0.151452642,0.124142252,0.000420894,0.178854625,0.044902276,0.170176929,0.134252051,0.172920647,-0.114732395,0.345411651,0.358602641,-0.147188881,0.351757146,0.343957942,0.229875005,0.04896328,0.033128024,0.005251923,0.087599371,-0.025051751,-0.025993129,0.002942181,0.361450422,0.35749519,0.171722803,0.337539378,-0.150434474,0.399497918,0.364032202,0.303995318,0.013490023,0.251674395,0.148719326,0.153479405,0.085513867,0.029747479,0.173847956,0.007186443,0.150513672,0.201059401,0.354223112,0.031391722,-0.2959814,-0.334875615,-0.069949253,-0.332194072,0.347136833,0.244667315,0.263120754,0.06685325,0.305928523,0.047031924,0.1091842,0.539103385,0.209129653,0.365961454,-0.216627334,0.300850043,0.584145672,0.441488065,0.497387497,0.101101672,0.09137204,0.153642576,0.206396356,0.14976721,0.361239232,0.227291291,0.280269999,-0.027034634,-0.085388734,0.008531739,0.244036626,0.051215464,0.338559183,0.350998764,-0.210907936,0.069713868,0.106772883,0.008073602,-0.080357423,0.036640794,-0.052106843,0.136758892,0.022141937,0.238394926,0.308087165,0.094763836,0.113098611,0.348038689,-0.048528773,0.334725412,0.178718081,0.136232059,-0.202155003,0.410884649,0.368358812,0.354929154,-0.032697436,0.335447307,0.164242957,0.303982633,0.140832408,0.269769133,-0.068418341,0.329221769,-0.085588387,0.259577316,-0.026676306,0.042444648,0.320562829,-0.173300212
% Single-Parent Households,0.104008407,0.217246669,0.279225058,0.312516516,0.204039409,0.402242657,0.440964288,0.438887495,0.361077136,0.196124478,0.19128184,0.142203047,0.385982751,0.171722803,-0.188148646,0.161041081,0.00678843,-0.376542719,0.096975132,0.09045213,0.041225414,0.10129739,0.278277497,0.367288422,0.416279427,0.281238222,0.100337125,0.12207642,0.167069369,0.098419949,0.054261075,0.107826695,0.09468232,0.12243123,0.069166955,0.118827966,-0.118413847,0.122418207,-0.020649356,-0.051860343,0.029077556,0.018778649,-0.0767233,0.08034927,-0.007578969,0.103455748,0.08705694,0.020219445,-0.352063484,0.095307367,0.116619,-0.147386709,0.162533141,0.096716933,0.420443881,0.488489468,0.258285625,0.266615236,0.413135707,-0.38959883,-0.417938636,0.25072836,0.251221564,0.116984718,1,0.077096639,-0.053676415,0.128215902,0.162290169,0.060623836,-0.050924862,0.089282719,0.304284538,0.255374827,0.107234041,0.173457024,-0.082190371,0.075691514,0.130579684,0.08825181,0.096271732,-0.111609974,-0.187292553,-0.322498454,-0.253689523,-0.130530427,0.102351005,0.241732279,0.315786583,0.350691244,0.277980296,0.02008326,0.058721175,0.441715543,0.274897959,0.20379066,0.074743661,0.234335285,0.632467532,0.491133005,0.440249267,0.44366939,0.452543357,0.145768974,0.077230906,0.139119473,0.135217009,0.15044063,0.200319822,0.192296862,0.018725181,0.132955457,0.025833424,-0.123740859,0.34499027,0.08041744,-0.154155324,0.135208862,0.266762223,-0.390771236,-0.300362968,-0.272958856,-0.318820763,0.47067853,0.054584181,0.083530863,0.445340679,-0.087236315,0.019624099,0.103576352,-0.203468155,0.163237798,0.304493806,0.014599425,0.00194388,0.137651675,0.142768875,0.087813509,-0.061870626,0.117690351,0.055228727,0.091857263,0.042761032,0.161328898,0.15116609,0.018856995,-0.228974767,0.093200336,0.024125152,0.047091053,0.063115896,-0.142707181
% Free or Reduced Lunch,0.041690943,0.182192642,0.331843342,0.381102768,0.279959695,0.725165418,0.737496265,0.596591668,0.244288386,0.094420601,0.116281258,0.109231114,0.555264934,0.136758892,-0.093884103,0.100861895,-0.126627204,-0.568530571,-0.13225808,-0.120160576,-0.07871595,-0.111442469,0.166053864,0.600364043,0.303208392,0.461306123,0.310471476,-0.034178189,0.562973705,-0.14907582,-0.176411702,-0.081781793,-0.040978349,-0.096681143,-0.087088833,0.224339598,-0.015987411,0.179237654,-0.005970742,-0.360439385,-0.171964274,-0.206493485,-0.337273904,-0.215594193,-0.081174517,-0.122386933,-0.214847807,-0.229850256,-0.23903801,-0.111901054,-0.057266363,-0.571322342,-0.029592535,-0.096404099,0.444777119,0.778852236,0.264346243,0.346210977,0.401726412,-0.678117313,-0.611981505,0.253496151,0.006826604,-0.055016612,0.47067853,-0.143699584,-0.047943709,-0.027124531,0.16297465,-0.214821075,-0.003913628,-0.089632804,0.28943132,0.064294853,0.367880999,0.147105975,-0.095865011,0.128270042,0.209310113,-0.015813388,-0.103572709,-0.216890332,-0.149166909,-0.281533704,-0.258085128,-0.190381074,-0.163717902,0.235590047,0.398036287,0.400708968,0.294142409,-0.271418528,0.002120829,0.435117302,0.319285714,0.203363784,-0.172765646,0.112785948,0.650649351,0.492118227,0.495967742,0.753591464,0.665574165,0.057522627,-0.171115766,0.096122284,-0.082526856,-0.045332993,0.037493174,0.193917759,-0.23788186,0.114948604,-0.191658156,0.078190853,0.52451766,-0.074311803,0.059232231,0.021296115,0.518617614,-0.732068336,-0.344749741,-0.432556863,-0.421912539,1,0.015148495,-0.100310095,0.376430133,-0.229040741,0.00380662,-0.105098048,-0.216296867,-0.067907141,0.107676037,0.107540061,-0.01727934,-0.028935781,0.059483446,-0.075177257,0.071033624,-0.070029069,-0.07445453,-0.076293142,-0.036082621,0.081932461,0.392008754,-0.245697347,-0.47230802,0.13062855,0.421317661,-0.10483686,-0.135224192,-0.059257743
% LBW (Black),-0.053326538,0.228839677,0.450701774,0.182624121,0.154973253,0.13652451,0.132923361,0.117084975,0.254948007,1,-0.03712175,0.052440541,0.046295723,0.014364667,-0.042182286,0.272383823,-0.186997756,-0.211596081,-0.140060276,-0.165540799,0.018276053,-0.176189399,0.129912877,0.139692188,0.375872208,0.26416268,0.042604069,-0.198067955,0.213911105,-0.206585402,-0.100773866,-0.188727574,-0.013166467,-0.183565169,-0.060639649,-0.119452966,-0.080625015,-0.116102632,-0.105705657,-0.092213343,-0.053706328,-0.061431194,-0.087058491,-0.096022675,-0.084865815,-0.043509692,-0.107903024,-0.212742687,-0.038366991,-0.239238233,-0.235147012,-0.150633774,-0.216654837,-0.222823472,-0.021463991,0.090172017,0.270853066,0.114749804,0.136534037,-0.076329115,-0.143401197,0.134180905,-0.199935217,-0.21276312,0.196124478,-0.175984261,0.356894819,-0.2033273,0.089700047,-0.231977326,0.217969543,-0.071504153,0.048567876,-0.060948017,0.08461271,0.140116132,0.041365579,-0.002023306,-0.120245931,0.12903129,-0.222390001,-0.089555154,-0.212177218,-0.489437523,-0.079941489,-0.152256864,-0.217327516,0.233975764,0.484791388,0.191999802,0.16382846,-0.23122671,0.210313108,0.231304985,0.333345079,0.215258304,-0.137149483,0.285422038,0.450649351,0.180788177,0.01026393,0.139992283,0.132975759,0.166505446,-0.214909757,-0.011368869,-0.236247928,0.074765823,-0.232736159,-0.052392906,-0.165798536,0.170531959,-0.186205156,0.290083026,-0.106776924,-0.202574637,0.208695155,-0.108652739,0.094283348,-0.073018534,-0.218226768,-0.002505561,-0.074519013,0.094420601,-0.150424183,-0.203017153,0.336228621,-0.299749727,0.127237267,-0.23208357,-0.013366169,-0.217979589,-0.070722564,-0.0809544,0.218169606,-0.143212358,0.026527511,-0.200694992,0.231873979,-0.239719241,-0.207523353,-0.254163731,-0.153139335,-0.17202155,0.006035259,-0.226796168,0.01759609,-0.175008634,-0.031305226,-0.008269305,-0.147580419,0.189817219
Physically Unhealthy Days,0.060017172,0.227930688,0.355005931,0.47924656,0.28330721,0.894252023,1,0.826123571,0.291788097,0.132923361,0.18486247,0.160781989,0.738463313,0.114841371,-0.166846491,0.063101717,-0.025237655,-0.646061436,-0.115575544,-0.126752727,0.003820715,-0.091194782,0.231314256,0.576706164,0.278863566,0.435963481,0.268726675,-0.034248417,0.453196565,-0.104828845,-0.081392769,-0.070613131,-0.064063997,-0.073327852,-0.038726817,0.176747583,-0.06700236,0.183696483,0.023472391,-0.311762711,-0.111292716,-0.065233384,-0.315595889,-0.223116802,-0.099576518,-0.177034842,-0.246321351,-0.174144212,-0.260265432,-0.099108721,-0.059549279,-0.490747253,-0.026335687,-0.093502152,0.417199809,0.682574264,0.310699121,0.435961601,0.461904349,-0.736574721,-0.702599251,0.342786058,0.012581235,-0.05009713,0.440964288,-0.144458372,-0.085903428,-0.019032152,0.159500949,-0.165140674,-0.051867248,-0.130653812,0.351495322,0.147647068,0.339195988,0.155664767,-0.032457934,-0.023206751,0.237730374,0.048082464,-0.099916738,-0.346394127,-0.175623221,-0.315052566,-0.311563324,-0.235286261,-0.135186481,0.233959739,0.423669991,0.468089975,0.318215405,-0.165800452,-0.013621344,0.548387097,0.261632653,0.306497055,-0.194601726,0.119639854,0.523376623,0.425123153,0.46297654,0.992116098,0.899655638,0.025825541,-0.180590401,0.029853884,-0.077822104,-0.050460201,0.067175892,0.277377136,-0.213647663,0.096340308,-0.203444315,0.057809331,0.608410423,-0.073348555,-0.015086402,0.124811858,0.417359452,-0.701490406,-0.41568217,-0.509615332,-0.49717242,0.737496265,0.026016196,-0.13294585,0.279624316,-0.183362732,0.027368672,-0.109499897,-0.291206769,-0.055129039,0.193312792,0.165003561,-0.05658197,-0.059827716,-0.007227399,-0.059530095,0.146464409,-0.065421527,-0.064990976,-0.076661166,-0.023283563,0.095465438,0.438768131,-0.251346418,-0.496454038,0.107169292,0.358246559,-0.099347359,-0.163415972,-0.117462892
